"module name","licenses","repository","licenseUrl","parents"
"fast-json-stable-stringify@2.1.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify","https://github.com/epoberezkin/fast-json-stable-stringify/raw/master/LICENSE","acap-sdk"
"fastparse@1.1.2","MIT","https://github.com/webpack/fastparse","https://github.com/webpack/fastparse/raw/master/LICENSE","acap-sdk"
"faye-websocket@0.10.0","MIT","https://github.com/faye/faye-websocket-node","https://github.com/faye/faye-websocket-node","acap-sdk"
"faye-websocket@0.11.3","Apache-2.0","https://github.com/faye/faye-websocket-node","https://github.com/faye/faye-websocket-node/raw/master/LICENSE.md","sockjs-client:acap-sdk"
"figgy-pudding@3.5.2","ISC","https://github.com/npm/figgy-pudding","https://github.com/npm/figgy-pudding/raw/master/LICENSE.md","acap-sdk"
"file-match@1.0.2","ISC","https://github.com/douzi8/file-match","https://github.com/douzi8/file-match","acap-sdk"
"file-system@2.2.2","ISC","https://github.com/douzi8/file-system","https://github.com/douzi8/file-system","acap-sdk"
"file-uri-to-path@1.0.0","MIT","https://github.com/TooTallNate/file-uri-to-path","https://github.com/TooTallNate/file-uri-to-path/raw/master/LICENSE","acap-sdk"
"fill-range@4.0.0","MIT","https://github.com/jonschlinkert/fill-range","https://github.com/jonschlinkert/fill-range/raw/master/LICENSE","acap-sdk"
"fill-range@7.0.1","MIT","https://github.com/jonschlinkert/fill-range","https://github.com/jonschlinkert/fill-range/raw/master/LICENSE","chokidar:acap-sdk"
"finalhandler@1.1.2","MIT","https://github.com/pillarjs/finalhandler","https://github.com/pillarjs/finalhandler/raw/master/LICENSE","acap-sdk"
"find-cache-dir@2.1.0","MIT","https://github.com/avajs/find-cache-dir","https://github.com/avajs/find-cache-dir/raw/master/license","acap-sdk"
"find-up@3.0.0","MIT","https://github.com/sindresorhus/find-up","https://github.com/sindresorhus/find-up/raw/master/license","acap-sdk"
"findup-sync@3.0.0","MIT","https://github.com/gulpjs/findup-sync","https://github.com/gulpjs/findup-sync/raw/master/LICENSE","acap-sdk"
"flush-write-stream@1.1.1","MIT","https://github.com/mafintosh/flush-write-stream","https://github.com/mafintosh/flush-write-stream/raw/master/LICENSE","acap-sdk"
"follow-redirects@1.10.0","MIT","https://github.com/follow-redirects/follow-redirects","https://github.com/follow-redirects/follow-redirects/raw/master/LICENSE","acap-sdk"
"font-awesome@4.7.0","(OFL-1.1 AND MIT)","https://github.com/FortAwesome/Font-Awesome","https://github.com/FortAwesome/Font-Awesome","acap-sdk"
"for-in@1.0.2","MIT","https://github.com/jonschlinkert/for-in","https://github.com/jonschlinkert/for-in/raw/master/LICENSE","acap-sdk"
"forwarded@0.1.2","MIT","https://github.com/jshttp/forwarded","https://github.com/jshttp/forwarded/raw/master/LICENSE","acap-sdk"
"fragment-cache@0.2.1","MIT","https://github.com/jonschlinkert/fragment-cache","https://github.com/jonschlinkert/fragment-cache/raw/master/LICENSE","acap-sdk"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh","https://github.com/jshttp/fresh/raw/master/LICENSE","acap-sdk"
"from2@2.3.0","MIT","https://github.com/hughsk/from2","https://github.com/hughsk/from2/raw/master/LICENSE.md","acap-sdk"
"fs-minipass@1.2.7","ISC","https://github.com/npm/fs-minipass","https://github.com/npm/fs-minipass/raw/master/LICENSE","fsevents:watchpack:acap-sdk"
"fs-write-stream-atomic@1.0.10","ISC","https://github.com/npm/fs-write-stream-atomic","https://github.com/npm/fs-write-stream-atomic/raw/master/LICENSE","acap-sdk"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath","https://github.com/isaacs/fs.realpath/raw/master/LICENSE","acap-sdk"
"fsevents@1.2.12","MIT","https://github.com/strongloop/fsevents","https://github.com/strongloop/fsevents/raw/master/LICENSE","watchpack:acap-sdk"
"fsevents@2.1.2","MIT","https://github.com/fsevents/fsevents","https://github.com/fsevents/fsevents/raw/master/LICENSE","acap-sdk"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind","https://github.com/Raynos/function-bind/raw/master/LICENSE","acap-sdk"
"gauge@2.7.4","ISC","https://github.com/iarna/gauge","https://github.com/iarna/gauge/raw/master/LICENSE","fsevents:watchpack:acap-sdk"
"get-caller-file@1.0.3","ISC","https://github.com/stefanpenner/get-caller-file","https://github.com/stefanpenner/get-caller-file/raw/master/LICENSE.md","webpack-dev-server:acap-sdk"
"get-caller-file@2.0.5","ISC","https://github.com/stefanpenner/get-caller-file","https://github.com/stefanpenner/get-caller-file/raw/master/LICENSE.md","acap-sdk"
"get-stream@4.1.0","MIT","https://github.com/sindresorhus/get-stream","https://github.com/sindresorhus/get-stream/raw/master/license","acap-sdk"
"get-value@2.0.6","MIT","https://github.com/jonschlinkert/get-value","https://github.com/jonschlinkert/get-value/raw/master/LICENSE","acap-sdk"
"glob-parent@3.1.0","ISC","https://github.com/es128/glob-parent","https://github.com/es128/glob-parent/raw/master/LICENSE","watchpack:acap-sdk"
"glob-parent@5.1.1","ISC","https://github.com/gulpjs/glob-parent","https://github.com/gulpjs/glob-parent/raw/master/LICENSE","acap-sdk"
"glob@7.1.6","ISC","https://github.com/isaacs/node-glob","https://github.com/isaacs/node-glob/raw/master/LICENSE","acap-sdk"
"global-modules@1.0.0","MIT","https://github.com/jonschlinkert/global-modules","https://github.com/jonschlinkert/global-modules/raw/master/LICENSE","resolve-dir:acap-sdk"
"global-modules@2.0.0","MIT","https://github.com/jonschlinkert/global-modules","https://github.com/jonschlinkert/global-modules/raw/master/LICENSE","acap-sdk"
"global-prefix@1.0.2","MIT","https://github.com/jonschlinkert/global-prefix","https://github.com/jonschlinkert/global-prefix/raw/master/LICENSE","acap-sdk"
"global-prefix@3.0.0","MIT","https://github.com/jonschlinkert/global-prefix","https://github.com/jonschlinkert/global-prefix/raw/master/LICENSE","global-modules:acap-sdk"
"globby@6.1.0","MIT","https://github.com/sindresorhus/globby","https://github.com/sindresorhus/globby/raw/master/license","acap-sdk"
"graceful-fs@4.2.3","ISC","https://github.com/isaacs/node-graceful-fs","https://github.com/isaacs/node-graceful-fs/raw/master/LICENSE","acap-sdk"
"handle-thing@2.0.0","MIT","https://github.com/indutny/handle-thing","https://github.com/indutny/handle-thing","acap-sdk"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag","https://github.com/sindresorhus/has-flag/raw/master/license","acap-sdk"
